
Walk-forward backtest 2026-04-01 → 2026-04-14
  days=9  candidates=0  positions=0  setups=21

Setups by combined T+15 objective:
Setup                          n  wr_t15  avg_t15   wr_t5  wr_t10  combined
F1_FLAG                        5   60.0%  +18.32%   60.0%  100.0%   10.4823
P1_MA20_PULLBACK              15   46.7%  +12.09%   53.3%   60.0%    4.9425
P2_GAP_FILL                   66   45.5%  +11.15%   50.0%   63.6%    4.6670
R1_DOUBLE_BOTTOM             149   32.9%  +10.12%   42.3%   49.7%    3.1283
S2_LEADER_FOLLOWTHROUGH      206   39.8%   +8.15%   37.9%   50.5%    2.8712
F2_TRIANGLE                   29   44.8%   +6.80%   27.6%   48.3%    2.6658
S3_LAGGARD_CATCHUP           188   42.5%   +7.09%   35.6%   50.0%    2.6230
O1_INST_PERSISTENT_BUY       179   33.5%   +8.26%   40.2%   42.5%    2.4693
S1_SECTOR_RESONANCE          375   35.5%   +7.14%   37.6%   48.8%    2.3954
T2_PULLBACK_RESUME           548   33.2%   +7.54%   37.4%   47.1%    2.3091
C1_CHIP_CONCENTRATED         366   30.3%   +7.74%   38.2%   45.1%    2.1853
V1_VOL_PRICE_UP              222   31.1%   +6.51%   34.7%   49.1%    1.9168
O3_LIMIT_SEAL_STRENGTH        26   42.3%   +5.01%   30.8%   30.8%    1.6839
Z1_ZSCORE_EXTREME             46   26.1%   +5.93%   37.0%   39.1%    1.5863
T1_BREAKOUT                  332   24.7%   +5.96%   35.8%   40.4%    1.4332
T3_ACCELERATION              285   22.5%   +4.03%   37.5%   41.8%    1.0633
O2_LHB_INST_BUY               38   23.7%   +3.09%   34.2%   42.1%    0.6771
R2_HS_BOTTOM                 148   23.6%   +2.70%   28.4%   37.2%    0.5757
C2_CHIP_LOOSE                 48   16.7%   +3.46%   37.5%   29.2%    0.5204
F3_RECTANGLE                   4    0.0%   -1.45%    0.0%    0.0%   -0.0000
V2_QUIET_COIL                  1    0.0%   +0.00%    0.0%    0.0%    0.0000
