trade_date,ts_code,up_limit,down_limit
20260506,000001.SZ,12.64,10.34
20260506,000002.SZ,4.3,3.52
20260506,000004.SZ,2.9,2.62
20260506,000006.SZ,10.67,8.73
20260506,000007.SZ,17.06,13.96
20260506,000008.SZ,2.96,2.42
20260506,000009.SZ,9.52,7.79
20260506,000010.SZ,3.03,2.75
20260506,000011.SZ,8.88,7.26
20260506,000012.SZ,4.43,3.63
20260506,000014.SZ,14.52,11.88
20260506,000016.SZ,3.4,3.08
20260506,000017.SZ,7.05,5.77
20260506,000019.SZ,8.46,6.92
20260506,000020.SZ,17.56,14.36
20260506,000021.SZ,32.14,26.3
20260506,000025.SZ,18.26,14.94
20260506,000026.SZ,19.94,16.32
20260506,000027.SZ,7.52,6.16
20260506,000028.SZ,26.99,22.09
20260506,000029.SZ,23.39,19.13
20260506,000030.SZ,5.6,4.58
20260506,000031.SZ,3.37,2.75
20260506,000032.SZ,19.07,15.61
20260506,000034.SZ,41.44,33.9
20260506,000035.SZ,7.18,5.88
20260506,000036.SZ,6.15,5.03
20260506,000037.SZ,11.88,9.72
20260506,000039.SZ,13.63,11.15
20260506,000042.SZ,10.59,8.67
20260506,000045.SZ,13.21,10.81
20260506,000048.SZ,16.21,13.27
20260506,000049.SZ,31.94,26.14
20260506,000050.SZ,8.38,6.86
20260506,000055.SZ,4.02,3.29
20260506,000056.SZ,1.83,1.65
20260506,000058.SZ,9.02,7.38
20260506,000059.SZ,6.26,5.12
20260506,000060.SZ,7.43,6.08
20260506,000061.SZ,8.12,6.64
20260506,000062.SZ,40.61,33.23
20260506,000063.SZ,40.37,33.03
20260506,000065.SZ,14.07,11.51
20260506,000066.SZ,21.8,17.84
20260506,000068.SZ,3.61,2.95
20260506,000069.SZ,2.49,2.03
20260506,000070.SZ,19.89,16.27
20260506,000078.SZ,3.34,3.02
20260506,000088.SZ,4.98,4.08
20260506,000089.SZ,7.84,6.42
20260506,000090.SZ,3.87,3.17
20260506,000096.SZ,10.7,8.76
20260506,000099.SZ,19.44,15.9
20260506,000100.SZ,4.7,3.84
20260506,000151.SZ,13.02,10.66
20260506,000153.SZ,7.1,5.81
20260506,000155.SZ,19.16,15.68
20260506,000156.SZ,8.15,6.67
20260506,000157.SZ,8.75,7.16
20260506,000158.SZ,18.92,15.48
20260506,000159.SZ,7.15,5.85
20260506,000166.SZ,5.21,4.27
20260506,000301.SZ,14.6,11.94
20260506,000333.SZ,89.21,72.99
20260506,000338.SZ,34.32,28.08
20260506,000400.SZ,27.71,22.67
20260506,000401.SZ,4.71,3.85
20260506,000402.SZ,3.49,2.85
20260506,000403.SZ,13.15,10.76
20260506,000404.SZ,9.11,7.45
20260506,000407.SZ,5.32,4.36
20260506,000408.SZ,98.19,80.33
20260506,000409.SZ,11.18,9.14
20260506,000410.SZ,6.78,5.54
20260506,000411.SZ,11.66,9.54
20260506,000415.SZ,5.15,4.21
20260506,000417.SZ,7.36,6.02
20260506,000419.SZ,6.41,5.25
20260506,000420.SZ,5.62,4.6
20260506,000421.SZ,6.96,5.7
20260506,000422.SZ,18.59,15.21
20260506,000423.SZ,60.5,49.5
20260506,000425.SZ,10.95,8.96
20260506,000426.SZ,46.62,38.14
20260506,000428.SZ,4.25,3.47
20260506,000429.SZ,13.84,11.32
20260506,000430.SZ,8.12,7.34
20260506,000488.SZ,2.7,2.44
20260506,000498.SZ,6.09,4.99
20260506,000501.SZ,9.22,7.54
20260506,000503.SZ,8.7,7.12
20260506,000504.SZ,9.64,8.72
20260506,000505.SZ,7.27,5.95
20260506,000506.SZ,17.6,14.4
20260506,000507.SZ,5.71,4.67
20260506,000509.SZ,3.95,3.23
20260506,000510.SZ,15.55,12.73
20260506,000513.SZ,35.92,29.39
20260506,000514.SZ,5.42,4.44
20260506,000516.SZ,5.06,4.14
20260506,000517.SZ,2.22,1.82
20260506,000518.SZ,3.06,2.76
20260506,000519.SZ,19.51,15.97
20260506,000520.SZ,4.35,3.56
20260506,000521.SZ,6.23,5.09
20260506,000523.SZ,3.8,3.11
20260506,000524.SZ,11.18,9.14
20260506,000525.SZ,6.11,5.0
20260506,000526.SZ,38.24,31.28
20260506,000528.SZ,10.63,8.69
20260506,000529.SZ,6.23,5.09
20260506,000530.SZ,6.5,5.32
20260506,000531.SZ,7.76,6.35
20260506,000532.SZ,13.93,11.39
20260506,000533.SZ,13.89,11.37
20260506,000534.SZ,43.48,35.58
20260506,000536.SZ,4.33,3.55
20260506,000537.SZ,10.88,8.9
20260506,000538.SZ,58.36,47.75
20260506,000539.SZ,7.18,5.88
20260506,000541.SZ,6.23,5.09
20260506,000543.SZ,8.89,7.27
20260506,000544.SZ,9.3,7.61
20260506,000545.SZ,3.32,2.72
20260506,000546.SZ,8.49,6.95
20260506,000547.SZ,27.04,22.12
20260506,000548.SZ,5.86,4.8
20260506,000550.SZ,20.63,16.88
20260506,000551.SZ,17.91,14.65
20260506,000552.SZ,3.17,2.59
20260506,000553.SZ,7.5,6.14
20260506,000554.SZ,9.01,7.37
20260506,000555.SZ,15.08,12.34
20260506,000557.SZ,5.17,4.23
20260506,000558.SZ,4.68,3.83
20260506,000559.SZ,17.7,14.48
20260506,000560.SZ,3.27,2.67
20260506,000561.SZ,10.46,8.56
20260506,000563.SZ,3.59,2.93
20260506,000564.SZ,1.93,1.58
20260506,000565.SZ,8.66,7.08
20260506,000566.SZ,5.5,4.5
20260506,000567.SZ,7.34,6.0
20260506,000568.SZ,110.11,90.09
20260506,000570.SZ,7.06,5.78
20260506,000571.SZ,6.12,5.0
20260506,000572.SZ,6.15,5.03
20260506,000573.SZ,5.53,4.53
20260506,000576.SZ,9.7,7.94
20260506,000581.SZ,21.49,17.59
20260506,000582.SZ,12.72,10.4
20260506,000586.SZ,19.48,15.94
20260506,000589.SZ,5.53,4.53
20260506,000590.SZ,12.28,10.04
20260506,000591.SZ,5.49,4.49
20260506,000592.SZ,11.84,9.68
20260506,000593.SZ,27.83,22.77
20260506,000595.SZ,6.68,6.04
